ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,AvgCH,AvgCD,AvgCA,missing_rodada,gols_pro_mandante,gols_pro_visitante,gols_sofridos_mandante,gols_sofridos_visitante,saldo_gols_mandante,saldo_gols_visitante,vitorias_mandante,vitorias_visitante,empates_mandante,empates_visitante,derrotas_mandante,derrotas_visitante,missing_colocacao_mandante,missing_colocacao_visitante,dia,mes,resultado_vitoria_mandante,resultado_vitoria_visitante,resultado_empate,gols_sofridos_media_mandante,gols_sofridos_media_visitante,gols_marcados_media_mandante,gols_marcados_media_visitante,vitorias_confronto_mandante,vitorias_confronto_visitante,empates_confronto,vitorias_seguidas_mandante,vitorias_seguidas_visitante,colocacao_media_mandante,colocacao_media_visitante,derrotas_seguidas_mandante,derrotas_seguidas_visitante,elo_mandante,elo_visitante,pred_resultado_partida,pred_gols_mandante,pred_gols_visitante
0.9499999999999886,1.049324721080446,1.0000000000000002,44,45,0.8991658406776509,0.9711241625770142,21,41,42,41,0.05263157894736842,0.8421052631578947,0.8468488350652705,0.783558287062464,0.09620822187325515,-0.494389340217036,3.0,2.0,0.014091858037578293,0.27316486161251513,0.30987023200943764,0,0.5865384615384616,0.2818181818181818,0.16363636363636364,0.41666666666666663,3.5848868474325624,-1.1488269069425954,0.5757575757575758,0.23529411764705882,0.34782608695652173,0.3913043478260869,0.1111111111111111,0.39999999999999997,0,0,0.26666666666666666,0.9090909090909091,1,0,0,0.010810810810810811,0.032005689900426744,0.0457957957957958,0.010343677010343676,0.6190476190476191,0.4545454545454546,0.375,0.0,0.0,-1.9584771258440965,1.117286766976602,0.0,0.0625,2.5802537525976983,-0.9973285343597539,1.0,,
0.9499999999999886,1.049324721080446,1.0000000000000002,25,45,0.8906699507359097,0.9156559984339911,45,38,42,41,0.3684210526315789,0.6842105263157894,0.799389587333138,0.759010859812123,-0.05897178147142172,-1.4511762319523853,0.0,1.0,0.0313152400835073,0.12394705174488574,0.16673220605583955,0,0.3557692307692308,0.33636363636363636,0.3181818181818182,0.4629629629629629,0.18615375639622006,-1.0670313801719962,0.36363636363636365,0.3235294117647059,0.3913043478260869,0.2608695652173913,0.3055555555555555,0.42857142857142855,0,0,0.26666666666666666,0.9090909090909091,0,1,0,0.021021021021021023,0.035561877667140813,0.027777777777777776,0.012345679012345678,0.19047619047619047,0.13636363636363635,0.375,0.0,0.07142857142857142,-0.038341580770971814,-0.9169552225638196,0.0,0.0,0.47808444515202553,-0.9685027260083011,1.0,,
0.9499999999999886,1.0497651203758074,0.6486486486486487,39,45,0.886124194807291,0.8568229372485967,4,23,42,41,0.42105263157894735,0.9473684210526316,0.7948513187061439,0.6258979014519108,0.34530914590937506,1.4667194449990437,3.0,3.0,0.025052192066805846,0.170878459687124,0.18796696814785685,0,0.3269230769230769,0.2818181818181818,0.3090909090909091,0.4444444444444444,0.020361898296886314,-1.3942134872543928,0.33333333333333337,0.20588235294117646,0.43478260869565216,0.3913043478260869,0.3055555555555555,0.45714285714285713,0,0,0.3666666666666667,0.9090909090909091,0,0,1,0.031481481481481485,0.05263157894736842,0.03935185185185185,0.01594650205761317,0.19047619047619047,0.13636363636363635,0.3125,0.15384615384615385,0.0,0.2868162308904381,1.0786619190739355,0.0,0.0,0.10448503367812495,-0.753300906492861,1.0,,
0.9499999999999886,1.0502055196711688,0.972972972972973,14,45,0.8330747865505145,0.6809372760297032,43,21,42,41,1.0,0.05263157894736842,0.699517453408909,0.8531047179720634,0.5084646563815073,0.1415306431307776,1.0,5.0,0.32202505219206684,0.23826714801444043,0.01061738104600865,0,0.23076923076923078,0.5818181818181818,0.5,0.18518518518518517,-2.549411902242787,3.595313645752158,0.06060606060606061,0.5882352941176471,0.4782608695652174,0.34782608695652173,0.5277777777777778,0.11428571428571428,0,0,0.4666666666666667,0.9090909090909091,0,1,0,0.033950617283950615,0.014619883040935672,0.018518518518518517,0.02194787379972565,0.14285714285714285,0.6818181818181819,0.5625,0.0,0.07142857142857142,1.736478141214224,-1.951970214667469,0.29411764705882354,0.0,-2.373232870323127,2.595219276183191,1.0,,
0.9499999999999886,1.0503523194362887,0.3783783783783784,72,45,0.7897159457435472,0.48718942723050596,41,33,42,41,0.8421052631578947,0.05263157894736842,0.7756316858779668,0.842111263212159,-0.5534554682890978,0.11706906889102064,1.0,0.0,0.08872651356993738,0.08062575210589656,0.05465985057019269,0,0.31730769230769235,0.5272727272727272,0.43636363636363634,0.25925925925925924,-1.2230770374481168,2.4501762709637696,0.24242424242424243,0.6176470588235294,0.3913043478260869,0.21739130434782608,0.41666666666666663,0.17142857142857143,0,0,0.5,0.9090909090909091,1,0,0,0.07619047619047618,0.05263157894736842,0.06547619047619048,0.05114638447971782,0.47619047619047616,0.4090909090909091,0.25,0.0,0.0,1.1132590021965216,-1.7963797256584235,0.11764705882352941,0.0625,-1.0454104612435287,2.3046312556382005,1.0,,
0.9499999999999886,1.0503523194362887,0.9189189189189191,59,45,0.7213298226580008,0.351330443528453,38,4,42,41,0.5263157894736843,0.42105263157894735,0.750858891675884,0.8004938880582289,-1.5309207454634102,0.3853618097231227,2.0,0.0,0.06106471816283925,0.07460890493381472,0.0841525756979945,0,0.3653846153846154,0.33636363636363636,0.45454545454545453,0.34259259259259256,-0.9743892502991163,-0.0036895321542065413,0.36363636363636365,0.3235294117647059,0.2608695652173913,0.4782608695652174,0.41666666666666663,0.3142857142857143,0,0,0.5,0.9090909090909091,1,0,0,0.032679738562091505,0.028637770897832815,0.03104575163398693,0.01343500363108206,0.0,0.3181818181818182,0.375,0.15384615384615385,0.0,-0.8818222929658792,0.2683204130755742,0.0,0.0,-0.6930437745909516,0.047450935417872986,1.0,,
0.9499999999999886,1.0506459189665298,0.48648648648648657,62,45,0.848840709928379,0.7854555477110323,8,43,42,41,0.2631578947368421,1.0,0.6943853386766052,0.7047485683495538,0.05070046793783807,0.5450657474275893,3.0,2.0,0.005741127348642995,0.516245487364621,0.47935509241053875,0,0.42307692307692313,0.22727272727272727,0.2545454545454545,0.5555555555555556,1.3466967630915563,-2.8665329691251786,0.42424242424242425,0.058823529411764705,0.43478260869565216,0.4782608695652174,0.25,0.5714285714285714,0,0,0.5666666666666667,0.9090909090909091,1,0,0,0.034567901234567905,0.08771929824561402,0.06790123456790123,0.017146776406035662,0.5714285714285714,0.2272727272727273,0.3125,0.0,0.0,-0.8489780695657368,1.7442776210665187,0.0,0.375,1.3339659108188913,-2.449575927625726,1.0,,
0.9499999999999886,1.0507927187316497,0.7027027027027029,0,45,0.8822211462804724,0.75495318851006,33,19,42,41,0.05263157894736842,0.8421052631578947,0.8364858339254988,0.6160384972670301,0.07121797623870507,-0.41038448802592153,0.0,0.0,0.013048016701461378,0.2900120336943442,0.31380259535981125,0,0.5576923076923077,0.2636363636363636,0.2636363636363636,0.4351851851851852,2.424343840737226,-1.476009014024992,0.6363636363636364,0.23529411764705882,0.21739130434782608,0.4782608695652174,0.19444444444444442,0.39999999999999997,0,0,0.6,0.9090909090909091,0,0,1,0.02478632478632479,0.047570850202429155,0.06196581196581197,0.013770180436847104,0.5714285714285714,0.2272727272727273,0.1875,0.0,0.0,-1.814598237529924,1.0948564495505027,0.11764705882352941,0.0,2.0455685108929393,-0.6393306148270786,1.0,,
0.9499999999999886,1.0509395184967705,0.40540540540540543,11,45,0.8727096040101687,0.8726976679861451,26,46,42,41,0.6842105263157894,0.5263157894736843,0.7790043268863494,0.6746126024795254,-0.09022544918352936,-0.3234294090761925,2.0,0.0,0.03914405010438413,0.14681107099879664,0.10971293747542271,0,0.33653846153846156,0.45454545454545453,0.3909090909090909,0.45370370370370366,-0.6428055341004487,0.07810599461639266,0.30303030303030304,0.3529411764705882,0.43478260869565216,0.2608695652173913,0.3611111111111111,0.42857142857142855,0,0,0.6333333333333333,0.9090909090909091,1,0,0,0.0637037037037037,0.08596491228070174,0.0648148148148148,0.04115226337448559,0.7142857142857142,0.4090909090909091,0.4375,0.0,0.0,0.3268451281593619,0.3404783210217978,0.0,0.1875,-0.4373857968468355,-0.1164621197576834,1.0,,
0.9499999999999886,1.0509395184967705,0.6216216216216217,44,45,0.8991658406776509,0.9711241625770142,22,21,42,41,0.3157894736842105,0.0,0.7557089601915912,0.8531047179720634,-0.05163552458161856,0.1415306431307776,2.0,1.0,0.1362212943632568,0.05535499398315291,0.040110106173810466,0,0.3653846153846154,0.6272727272727272,0.33636363636363636,0.19444444444444442,0.1032578273465532,3.9224957528345548,0.4545454545454546,0.6176470588235294,0.2608695652173913,0.34782608695652173,0.3333333333333333,0.11428571428571428,0,0,0.6333333333333333,0.9090909090909091,1,0,0,0.035748792270531404,0.02402745995423341,0.04589371980676329,0.037037037037037035,0.6666666666666666,0.8181818181818182,0.625,0.0,0.14285714285714285,-0.7701519334053949,-1.9554551136307807,0.0,0.0,0.43442072537242393,2.66452662884696,1.0,,
